time,open,high,low,close,volume,ticker,comGroupCode,organName,organShortName,organTypeCode,comTypeCode,icbName,icbNamePath,sector,industry,group,subgroup,icbCode
2024-04-24,13250,13900,13200,13900,7834200,EVF,HOSE,Công ty Tài chính Cổ phần Điện Lực,Tài chính Điện lực,DN,NH,Tài chính cá nhân,Tài chính/Dịch vụ tài chính/Dịch vụ tài chính/Tài chính cá nhân,Tài chính,Dịch vụ tài chính,Dịch vụ tài chính,Tài chính cá nhân,8773
2024-04-24,4310,4400,4310,4390,757900,FIT,HOSE,Công ty Cổ phần Tập đoàn F.I.T,Tập đoàn F.I.T,DN,CT,Tài chính đặc biệt,Tài chính/Dịch vụ tài chính/Dịch vụ tài chính/Tài chính đặc biệt,Tài chính,Dịch vụ tài chính,Dịch vụ tài chính,Tài chính đặc biệt,8775
2024-04-24,53300,56000,53200,55500,2240000,FTS,HOSE,Công ty Cổ phần Chứng khoán FPT,Chứng khoán FPT,DN,CK,Môi giới chứng khoán,Tài chính/Dịch vụ tài chính/Dịch vụ tài chính/Môi giới chứng khoán,Tài chính,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,8777
2024-04-24,8200,8400,8200,8300,868500,AAS,UPCOM,Công ty Cổ phần Chứng khoán SmartInvest,Chứng khoán SmartInvest,DN,CK,Môi giới chứng khoán,Tài chính/Dịch vụ tài chính/Dịch vụ tài chính/Môi giới chứng khoán,Tài chính,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,8777
2024-04-24,8000,8000,7800,8000,28200,HBS,HNX,Công ty Cổ phần Chứng khoán Hòa Bình,Chứng khoán Hòa Bình,DN,CK,Môi giới chứng khoán,Tài chính/Dịch vụ tài chính/Dịch vụ tài chính/Môi giới chứng khoán,Tài chính,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,8777
2024-04-24,26800,27650,26600,27650,6962100,HCM,HOSE,Công ty Cổ phần Chứng khoán Thành phố Hồ Chí Minh,Chứng khoán HSC,DN,CK,Môi giới chứng khoán,Tài chính/Dịch vụ tài chính/Dịch vụ tài chính/Môi giới chứng khoán,Tài chính,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,8777
2024-04-24,13800,13800,13700,13700,15300,HAC,UPCOM,Công ty Cổ phần Chứng khoán Hải Phòng,Chứng khoán Hải Phòng,DN,CK,Môi giới chứng khoán,Tài chính/Dịch vụ tài chính/Dịch vụ tài chính/Môi giới chứng khoán,Tài chính,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,8777
2024-04-24,11300,11700,11300,11700,122200,IVS,HNX,Công ty Cổ phần Chứng khoán Guotai Junan (Việt Nam),Chứng khoán Guotai Junan (Việt Nam),DN,CK,Môi giới chứng khoán,Tài chính/Dịch vụ tài chính/Dịch vụ tài chính/Môi giới chứng khoán,Tài chính,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,8777
2024-04-24,7200,7400,7100,7400,167700,EVS,HNX,Công ty Cổ phần Chứng khoán Everest,Chứng khoán Everest,OTHER,CK,Môi giới chứng khoán,Tài chính/Dịch vụ tài chính/Dịch vụ tài chính/Môi giới chứng khoán,Tài chính,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,8777
2024-04-24,5900,5970,5780,5950,250500,OGC,HOSE,Công ty Cổ phần Tập đoàn Đại Dương,Tập đoàn Đại Dương,DN,CT,Tài chính đặc biệt,Tài chính/Dịch vụ tài chính/Dịch vụ tài chính/Tài chính đặc biệt,Tài chính,Dịch vụ tài chính,Dịch vụ tài chính,Tài chính đặc biệt,8775
